Wednesday | 10:49:53 PM    | 0.0             | 1430                 | 1480784              |
Wednesday | 10:49:58 PM    | us,             | 1430                 | 1480784              |
Wednesday | 10:50:01 PM    | 0.0             | 1430                 | 1480784              |
Wednesday | 10:50:06 PM    | us,             | 1430                 | 1480784              |
Wednesday | 10:50:11 PM    | 0.0             | 1430                 | 1480784              |
Wednesday | 10:50:17 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:50:22 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:50:27 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:50:32 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:50:39 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:50:45 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:50:50 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:50:55 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:00 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:01 PM    | us,             | 1430                 | 1480780              |
Wednesday | 10:51:06 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:12 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:17 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:22 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:27 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:32 PM    | us,             | 1430                 | 1480780              |
Wednesday | 10:51:39 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:44 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:50 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:51:55 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:00 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:01 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:06 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:12 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:17 PM    | us,             | 1430                 | 1480780              |
Wednesday | 10:52:22 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:27 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:32 PM    | us,             | 1430                 | 1480780              |
Wednesday | 10:52:39 PM    | us,             | 1430                 | 1480780              |
Wednesday | 10:52:44 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:49 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:52:55 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:53:00 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:53:01 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:53:06 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:53:12 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:53:17 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:53:22 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:53:27 PM    | 0.0             | 1430                 | 1480780              |
Wednesday | 10:53:32 PM    | 0.0             | 1430                 | 1480780              |
